SimulationName,Clock_today,sowing_date,cycle_id,umidade_solo_mm,umidade_solo_passada_1d_mm,umidade_solo_passada_2d_mm,umidade_solo_passada_3d_mm,precipitacao_observada_mm,irrigacao_aplicada_mm,irrigacao_aplicada_dia_posterior_mm,chuva_irrigacao_passada_1d_mm,chuva_irrigacao_passada_2d_mm,chuva_irrigacao_passada_3d_mm,etreal_mm_dia,previsao_chuva_24h_mm,previsao_temperatura_maxima_C,previsao_temperatura_minima_C,previsao_radiacao_solar_MJ_m2_dia,previsao_eto_mm_dia,temperatura_media_C,temperatura_maxima_C,temperatura_minima_C,umidade_relativa_pct,velocidade_vento_m_s,radiacao_solar_MJ_m2_dia,dr_mm,profundidade_radicular_mm,gdd_acumulado_C_dia,etr_acumulado_mm,doy_sin,doy_cos,month_sin,month_cos,escoamento_superficial_mm,drenagem_mm,taw_mm,dias_desde_semeadura,deficit_agua_proximo_dia_mm
Alegrete,2019-09-07,2019-08-10,0,160.14478312999998,152.56810697666666,145.02245938333334,143.93496976,1.44,0.0,0.0,0.2,0.0,0.0,2.222,0.375,25.350000000000023,15.349000000000046,7.365600000000001,1.7983761003231167,19.87,25.37,15.87,90.46,1.96,11.98,17.99536087,523.929,206.2,48.089999999999996,-0.9175836260593934,-0.3975428142825566,-1.0,-1.8369701987210297e-16,0.0,0.061,71.33041499999999,28,16.937720416666668
Alegrete,2019-09-08,2019-08-10,0,169.60242358333335,160.14478312999998,152.56810697666666,145.02245938333334,2.52,0.0,0.0,1.4,0.2,0.0,1.4349999999999998,2.0,24.882000000000005,19.382000000000005,5.0976,1.9459278152266788,20.58,23.7,17.78,95.27,1.74,6.28,16.937720416666668,548.929,218.95,49.525,-0.9242907221930934,-0.3816892202666586,-1.0,-1.8369701987210297e-16,0.0,0.049,74.70541499999999,29,15.594529983333333
Alegrete,2019-09-09,2019-08-10,0,179.34561401666667,169.60242358333335,160.14478312999998,152.56810697666666,3.28,0.0,0.0,2.5,1.4,0.2,1.948,1.0625,29.55000000000001,16.763000000000034,16.8912,5.284371918056335,21.69,25.89,18.46,87.24,3.41,8.21,15.594529983333333,573.929,233.15,51.473,-0.9307239310379793,-0.3657225234972692,-1.0,-1.8369701987210297e-16,0.0,0.039,78.08041499999999,30,15.37633241
Alegrete,2019-09-10,2019-08-10,0,187.96381159,179.34561401666667,169.60242358333335,160.14478312999998,2.65,0.0,0.0,3.3,2.5,1.4,2.37,6.9375,17.25,13.396000000000017,4.9032,1.4313990350788055,17.1,21.03,14.28,84.63,3.79,11.1,15.37633241,598.929,242.8,53.842999999999996,-0.9368813462954315,-0.34964745525122826,-1.0,-1.8369701987210297e-16,0.0,0.031,81.45541499999999,31,-23.480880243333335
Alegrete,2019-09-11,2019-08-10,0,235.17316624333333,187.96381159,179.34561401666667,169.60242358333335,43.26,0.0,0.0,2.6,3.3,2.5,0.588,15.0,17.69500000000005,13.450000000000044,4.9032,1.334777733068222,15.28,17.68,13.51,91.5,3.5,2.91,-23.480880243333335,623.929,250.4,54.431,-0.9427611433904206,-0.33346877891818705,-1.0,-1.8369701987210297e-16,3.401,0.028,84.80648599999999,32,-25.65112298
Alegrete,2019-09-12,2019-08-10,0,245.69340898,235.17316624333333,187.96381159,179.34561401666667,6.08,0.0,0.0,43.3,2.6,3.3,2.865,0.3125,16.77600000000001,12.650000000000034,9.8496,2.176331602938174,15.36,20.3,10.69,86.14,2.79,13.85,-25.65112298,648.929,257.9,57.296,-0.9483615800121716,-0.31719128858910595,-1.0,-1.8369701987210297e-16,0.0,0.04,88.15648599999999,33,-20.802835110000004
Alegrete,2019-09-13,2019-08-10,0,249.19512111,245.69340898,235.17316624333333,187.96381159,0.0,0.0,0.0,6.1,43.3,2.6,3.3000000000000003,0.0625,19.588000000000022,8.701999999999998,18.5544,2.5631060020181344,15.03,21.35,9.83,83.16,2.94,19.28,-20.802835110000004,673.929,265.5,60.596,-0.9536809966304455,-0.300819807635668,-1.0,-1.8369701987210297e-16,0.0,0.077,91.506486,34,-16.465544793333333
Alegrete,2019-09-14,2019-08-10,0,253.2078307933333,249.19512111,245.69340898,235.17316624333333,0.12,0.0,0.0,0.0,6.1,43.3,2.678,0.1875,23.350000000000023,10.025000000000034,16.0704,2.449094224194584,15.88,23.3,9.77,85.65,2.61,12.58,-16.465544793333333,698.929,274.05,63.274,-0.9587178169872964,-0.2843591872810036,-1.0,-1.8369701987210297e-16,0.0,0.148,94.85648599999999,35,-11.872936246666665
Alegrete,2019-09-15,2019-08-10,0,256.96522224666666,253.2078307933333,249.19512111,245.69340898,0.25,0.0,0.0,0.1,0.0,6.1,3.044,0.0,30.424000000000035,15.463000000000022,21.6,4.0423024947089985,21.43,31.32,14.48,87.39,1.79,18.1,-11.872936246666665,723.929,288.3,66.318,-0.9634705485641486,-0.26781430516217486,-1.0,-1.8369701987210297e-16,0.0,0.254,98.20648599999998,36,-8.51309505
Alegrete,2019-09-16,2019-08-10,0,261.95538105,256.96522224666666,253.2078307933333,249.19512111,0.52,0.0,0.0,0.2,0.1,0.0,2.266,0.6875,24.55000000000001,13.150000000000034,7.992,4.506137337203458,21.78,27.75,15.29,85.82,3.13,9.64,-8.51309505,748.929,301.85,68.584,-0.9679377830240642,-0.25119006388481957,-1.0,-1.8369701987210297e-16,0.0,0.389,101.55648599999999,37,-5.495360553333333
